Al,C,Co,Cr,Mn,Mo,N,Nb,Ni,Si,Ti,V,W,YieldStrength
0.04,0.16,13.6,14.24,0.01,7.15,0.03,0.01,0.01,0.01,0.0,0.41,0.0,1460.7
0.03,0.17,13.64,14.26,0.01,5.09,0.03,0.01,0.01,0.01,0.0,0.41,0.0,1502.0
0.04,0.15,12.23,14.36,0.01,5.09,0.03,0.01,0.01,0.01,0.0,0.41,0.0,1440.0
0.04,0.15,12.23,14.36,0.01,5.09,0.03,0.01,0.01,0.01,0.0,0.41,0.0,1502.0
0.04,0.16,11.74,14.4,0.01,5.28,0.13,0.01,0.01,0.01,0.0,0.41,0.0,1646.7
0.05,0.16,13.41,14.46,0.56,5.12,0.03,0.01,0.01,0.01,0.0,0.41,0.0,1350.4
0.04,0.16,13.41,14.5,0.01,5.09,0.02,0.01,0.01,0.67,0.0,0.41,0.0,1412.5
0.2,0.01,8.14,7.93,0.01,0.2,0.01,0.0,10.02,0.03,0.49,0.0,2.29,1935.0
0.2,0.01,8.14,7.93,0.01,0.2,0.01,0.0,10.02,0.03,0.49,0.0,2.29,1250.0
0.2,0.01,8.14,7.93,0.01,0.2,0.01,0.0,10.02,0.03,0.49,0.0,2.29,1735.0
0.92,0.01,9.2,0.01,0.01,5.1,0.0,0.01,15.1,0.01,0.7,0.01,0.0,1619.2
0.92,0.01,9.2,0.01,0.01,5.1,0.0,0.01,15.1,0.01,0.7,0.01,0.0,1936.1
0.92,0.01,9.2,0.01,0.01,5.1,0.0,0.01,15.1,0.01,0.7,0.01,0.0,1729.4
0.92,0.01,9.2,0.01,0.01,5.1,0.0,0.01,15.1,0.01,0.7,0.01,0.0,1281.5
0.92,0.01,9.2,0.01,0.01,5.1,0.0,0.01,15.1,0.01,0.7,0.01,0.0,1502.0
0.92,0.01,9.2,0.01,0.01,5.1,0.0,0.01,15.1,0.01,0.7,0.01,0.0,1412.5
0.21,0.01,0.01,4.62,0.05,2.79,0.0,0.01,12.08,0.11,0.2,0.01,0.0,1167.2
0.26,0.01,0.01,4.77,0.03,3.03,0.0,0.01,12.21,0.11,0.2,0.01,0.0,1216.8
0.4,0.01,0.01,4.8,0.05,2.99,0.0,0.01,12.16,0.12,0.19,0.01,0.0,1272.6
0.57,0.01,0.01,4.65,0.08,3.13,0.0,0.01,12.11,0.05,0.2,0.01,0.0,1390.4
0.38,0.02,0.01,4.73,0.08,3.15,0.0,0.01,12.08,0.04,0.23,0.01,0.0,1243.6
0.66,0.0,0.01,4.81,0.05,2.95,0.0,0.01,11.5,0.06,0.2,0.01,0.0,1451.7
0.58,0.01,0.01,4.86,0.05,2.95,0.0,0.01,11.6,0.06,0.22,0.01,0.0,1437.3
0.51,0.01,0.01,5.32,0.05,2.93,0.0,0.01,12.95,0.06,0.2,0.01,0.0,1404.2
0.39,0.0,0.01,5.01,0.04,2.98,0.0,0.01,11.83,0.06,0.2,0.01,0.0,1324.3
0.31,0.01,0.01,5.0,0.02,3.0,0.0,0.01,12.16,0.03,0.21,0.01,0.0,1309.8
0.25,0.01,0.01,4.87,0.1,2.97,0.0,0.01,12.08,0.18,0.15,0.01,0.0,1230.6
0.23,0.02,0.01,4.98,0.21,2.97,0.0,0.01,12.26,0.19,0.14,0.01,0.0,1194.0
0.26,0.01,0.01,4.7,0.08,3.13,0.0,0.01,12.2,0.04,0.19,0.01,0.0,1212.6
0.34,0.01,0.01,4.57,0.07,3.12,0.0,0.01,12.05,0.04,0.18,0.01,0.0,1254.0
0.47,0.01,0.01,4.67,0.06,3.17,0.0,0.01,12.14,0.03,0.19,0.01,0.0,1390.4
0.05,0.01,0.01,0.01,0.04,0.02,0.0,0.01,16.7,1.87,0.08,0.01,0.0,1233.3
0.05,0.01,0.01,0.01,0.04,0.02,0.0,0.01,16.7,1.87,0.08,0.01,0.0,1143.7
0.03,0.02,0.01,0.01,0.1,0.02,0.0,0.01,18.4,2.02,0.0,0.01,0.0,1460.7
0.03,0.02,0.01,0.01,0.1,0.02,0.0,0.01,18.4,2.02,0.0,0.01,0.0,1136.9
0.05,0.01,0.01,0.01,0.06,0.02,0.0,0.01,17.8,2.58,0.07,0.01,0.0,1350.4
0.05,0.01,0.01,0.01,0.06,0.02,0.0,0.01,17.8,2.58,0.07,0.01,0.0,1267.8
0.03,0.02,0.01,0.01,0.11,0.02,0.0,0.01,18.3,3.18,0.0,0.01,0.0,1460.7
0.03,0.02,0.01,0.01,0.11,0.02,0.0,0.01,18.3,3.18,0.0,0.01,0.0,1378.0
0.05,0.01,0.01,0.01,0.1,0.02,0.0,0.01,18.5,3.3,0.11,0.01,0.0,1522.7
0.05,0.01,0.01,0.01,0.1,0.02,0.0,0.01,18.5,3.3,0.11,0.01,0.0,1426.2
0.07,0.02,0.01,0.01,0.1,0.02,0.0,0.01,18.1,4.27,0.09,0.01,0.0,1736.3
0.07,0.02,0.01,0.01,0.1,0.02,0.0,0.01,18.1,4.27,0.09,0.01,0.0,1867.2
0.03,0.35,0.01,0.01,0.07,0.02,0.0,0.01,18.5,4.75,0.0,0.01,0.0,1495.1
0.03,0.35,0.01,0.01,0.07,0.02,0.0,0.01,18.5,4.75,0.0,0.01,0.0,1005.9
0.05,0.01,0.01,0.01,1.72,0.02,0.0,0.01,18.1,0.02,0.06,0.01,0.0,1136.9
0.05,0.01,0.01,0.01,2.5,0.02,0.0,0.01,18.0,0.02,0.04,0.01,0.0,1460.7
0.05,0.01,0.01,0.01,2.5,0.02,0.0,0.01,18.0,0.02,0.04,0.01,0.0,1481.4
0.17,0.01,11.8,0.01,0.05,3.9,0.0,0.01,17.5,0.05,1.54,0.01,0.0,2452.8
0.17,0.01,11.8,0.01,0.05,3.9,0.0,0.01,17.5,0.05,1.54,0.01,0.0,2370.2
0.17,0.01,11.8,0.01,0.05,3.9,0.0,0.01,17.5,0.05,1.54,0.01,0.0,2321.9
0.08,0.01,13.0,0.01,0.05,3.6,0.0,0.01,18.0,0.05,1.88,0.01,0.0,2473.5
0.08,0.01,13.0,0.01,0.05,3.6,0.0,0.01,18.0,0.05,1.88,0.01,0.0,2404.6
0.08,0.01,13.0,0.01,0.05,3.6,0.0,0.01,18.0,0.05,1.88,0.01,0.0,2356.4
0.1,0.0,13.0,0.01,0.05,3.5,0.0,0.01,18.1,0.05,1.62,0.01,0.0,2363.3
0.1,0.0,13.0,0.01,0.05,3.5,0.0,0.01,18.1,0.05,1.62,0.01,0.0,2335.7
0.1,0.0,13.0,0.01,0.05,3.5,0.0,0.01,18.1,0.05,1.62,0.01,0.0,2294.4
0.62,0.01,11.5,0.01,0.05,4.15,0.0,0.01,17.5,0.05,1.48,0.01,0.0,2576.9
0.62,0.01,11.5,0.01,0.05,4.15,0.0,0.01,17.5,0.05,1.48,0.01,0.0,2528.6
0.62,0.01,11.5,0.01,0.05,4.15,0.0,0.01,17.5,0.05,1.48,0.01,0.0,2425.3
0.16,0.02,12.3,0.01,0.05,4.07,0.0,0.01,17.0,0.05,1.58,0.69,0.0,2383.9
0.16,0.02,12.3,0.01,0.05,4.07,0.0,0.01,17.0,0.05,1.58,0.69,0.0,2446.0
0.16,0.02,12.3,0.01,0.05,4.07,0.0,0.01,17.0,0.05,1.58,0.69,0.0,2315.0
0.13,0.01,7.9,0.01,0.05,4.97,0.0,0.01,17.4,0.05,1.5,0.01,0.0,2356.4
0.02,0.0,12.0,0.01,0.05,3.6,0.0,0.01,18.0,0.05,1.9,0.5,0.0,2446.0
0.02,0.0,12.0,0.01,0.05,3.6,0.0,0.01,18.0,0.05,1.9,0.5,0.0,2397.7
0.02,0.0,12.0,0.01,0.05,3.6,0.0,0.01,18.0,0.05,1.9,0.5,0.0,2363.3
0.23,0.01,12.2,0.01,0.05,3.95,0.0,0.01,17.2,0.05,1.78,0.01,0.0,2404.6
0.23,0.01,12.2,0.01,0.05,3.95,0.0,0.01,17.2,0.05,1.78,0.01,0.0,2397.7
0.23,0.01,12.2,0.01,0.05,3.95,0.0,0.01,17.2,0.05,1.78,0.01,0.0,2315.0
0.15,0.02,15.0,0.01,0.05,2.95,0.0,0.01,19.7,0.05,1.55,0.01,0.0,2411.5
0.13,0.01,15.0,0.01,0.05,3.95,0.0,0.01,17.7,0.05,1.47,0.01,0.0,2487.3
0.11,0.0,13.0,0.01,0.05,3.6,0.0,0.01,18.1,0.05,2.25,0.01,0.0,2521.7
0.11,0.0,13.0,0.01,0.05,3.6,0.0,0.01,18.1,0.05,2.25,0.01,0.0,2514.9
0.11,0.0,13.0,0.01,0.05,3.6,0.0,0.01,18.1,0.05,2.25,0.01,0.0,2466.6
0.13,0.01,14.9,0.01,0.05,1.45,0.0,0.01,19.4,0.05,1.55,0.01,0.0,2249.6
0.76,0.01,15.3,0.01,0.05,1.5,0.0,0.01,14.7,0.05,1.16,0.01,0.0,2157.3
0.1,0.03,6.9,0.01,0.05,0.02,0.0,0.01,16.4,0.17,0.14,4.0,0.0,1536.5
0.11,0.18,8.06,0.01,0.11,0.02,0.0,0.01,17.8,0.09,0.08,4.32,0.0,1605.4
1.0,0.04,0.01,12.52,0.01,2.1,0.0,0.01,8.63,0.02,0.0,0.01,0.0,1274.7
1.0,0.04,0.01,12.52,0.01,2.1,0.0,0.01,8.63,0.02,0.0,0.01,0.0,1296.7
1.0,0.04,0.01,12.52,0.01,2.1,0.0,0.01,8.63,0.02,0.0,0.01,0.0,1295.3
1.0,0.04,0.01,12.52,0.01,2.1,0.0,0.01,8.63,0.02,0.0,0.01,0.0,1274.7
1.0,0.04,0.01,12.52,0.01,2.1,0.0,0.01,8.63,0.02,0.0,0.01,0.0,1113.4
1.0,0.04,0.01,12.52,0.01,2.1,0.0,0.01,8.63,0.02,0.0,0.01,0.0,1113.4
1.0,0.04,0.01,12.52,0.01,2.1,0.0,0.01,8.63,0.02,0.0,0.01,0.0,1384.9
1.0,0.04,0.01,12.52,0.01,2.1,0.0,0.01,8.63,0.02,0.0,0.01,0.0,1367.0
1.0,0.04,0.01,12.52,0.01,2.1,0.0,0.01,8.63,0.02,0.0,0.01,0.0,1416.6
1.0,0.04,0.01,12.52,0.01,2.1,0.0,0.01,8.63,0.02,0.0,0.01,0.0,1403.5
1.0,0.04,0.01,12.52,0.01,2.1,0.0,0.01,8.63,0.02,0.0,0.01,0.0,1399.4
1.0,0.04,0.01,12.52,0.01,2.1,0.0,0.01,8.63,0.02,0.0,0.01,0.0,1400.0
1.0,0.04,0.01,12.52,0.01,2.1,0.0,0.01,8.63,0.02,0.0,0.01,0.0,1389.7
1.0,0.04,0.01,12.52,0.01,2.1,0.0,0.01,8.63,0.02,0.0,0.01,0.0,1389.0
1.0,0.04,0.01,12.52,0.01,2.1,0.0,0.01,8.63,0.02,0.0,0.01,0.0,1304.3
1.0,0.04,0.01,12.52,0.01,2.1,0.0,0.01,8.63,0.02,0.0,0.01,0.0,1311.9
1.0,0.04,0.01,12.52,0.01,2.1,0.0,0.01,8.63,0.02,0.0,0.01,0.0,1320.8
1.0,0.04,0.01,12.52,0.01,2.1,0.0,0.01,8.63,0.02,0.0,0.01,0.0,1295.3
1.0,0.04,0.01,12.52,0.01,2.1,0.0,0.01,8.63,0.02,0.0,0.01,0.0,1285.0
0.03,0.02,6.0,13.9,0.01,0.02,0.0,0.01,6.0,1.93,0.05,0.01,0.0,1130.0
0.02,0.02,8.9,13.9,0.01,0.02,0.0,0.01,5.1,1.82,0.04,0.01,0.0,1226.4
0.02,0.02,9.2,15.9,0.01,0.02,0.0,0.01,4.0,1.86,0.05,0.01,0.0,1143.7
0.03,0.01,10.5,15.6,0.01,0.02,0.0,0.01,4.1,1.93,0.06,0.01,0.0,1185.1
0.02,0.01,7.4,15.7,0.01,0.02,0.0,0.01,4.1,1.72,0.04,0.01,0.0,1205.8
0.04,0.02,6.0,15.5,0.01,0.02,0.0,0.01,3.9,1.92,0.07,0.01,0.0,1109.3
0.03,0.01,11.8,17.5,0.01,0.02,0.0,0.01,2.1,1.99,0.05,0.01,0.0,1088.6
0.01,0.16,13.88,1.97,0.16,1.0,0.0,0.01,10.05,0.05,0.0,0.01,0.0,1666.0
0.01,0.16,13.8,1.95,0.06,0.98,0.0,0.01,10.15,0.04,0.01,0.01,0.0,1658.4
0.01,0.16,13.8,1.95,0.06,0.98,0.0,0.01,10.15,0.04,0.01,0.01,0.0,1672.9
0.01,0.17,13.74,2.97,0.16,1.21,0.0,0.01,10.02,0.05,0.0,0.01,0.0,1625.4
0.01,0.16,13.8,1.95,0.06,0.98,0.0,0.01,10.15,0.04,0.01,0.01,0.0,1618.5
0.01,0.16,13.88,1.97,0.16,1.0,0.0,0.01,10.05,0.05,0.0,0.01,0.0,1553.7
0.01,0.17,13.74,2.97,0.16,1.21,0.0,0.01,10.02,0.05,0.0,0.01,0.0,1434.5
0.01,0.12,12.1,2.01,0.18,1.0,0.0,0.01,10.07,0.06,0.0,0.01,0.0,1451.7
0.01,0.12,12.1,2.01,0.18,1.0,0.0,0.01,10.07,0.06,0.0,0.01,0.0,1415.2
0.01,0.12,12.1,2.01,0.18,1.0,0.0,0.01,10.07,0.06,0.0,0.01,0.0,1512.4
0.01,0.12,12.1,2.01,0.18,1.0,0.0,0.01,10.07,0.06,0.0,0.01,0.0,1473.8
0.01,0.16,13.88,1.97,0.16,1.0,0.0,0.01,10.05,0.05,0.0,0.01,0.0,1555.8
0.01,0.16,13.88,1.97,0.16,1.0,0.0,0.01,10.05,0.05,0.0,0.01,0.0,1529.6
0.01,0.16,13.88,1.97,0.16,1.0,0.0,0.01,10.05,0.05,0.0,0.01,0.0,1553.7
0.01,0.16,13.88,1.97,0.16,1.0,0.0,0.01,10.05,0.05,0.0,0.01,0.0,1575.7
0.01,0.16,13.88,1.97,0.16,1.0,0.0,0.01,10.05,0.05,0.0,0.01,0.0,1639.8
0.01,0.16,13.88,1.97,0.16,1.0,0.0,0.01,10.05,0.05,0.0,0.01,0.0,1635.0
0.01,0.16,13.88,1.97,0.16,1.0,0.0,0.01,10.05,0.05,0.0,0.01,0.0,1626.7
0.01,0.15,12.15,2.01,0.16,1.22,0.0,0.01,10.08,0.06,0.0,0.01,0.0,1513.7
0.01,0.15,12.15,2.01,0.16,1.22,0.0,0.01,10.08,0.06,0.0,0.01,0.0,1493.1
0.01,0.15,12.05,2.97,0.16,1.0,0.0,0.01,10.06,0.05,0.0,0.01,0.0,1406.9
0.01,0.15,12.05,2.97,0.16,1.0,0.0,0.01,10.06,0.05,0.0,0.01,0.0,1399.4
0.01,0.15,12.05,2.97,0.16,1.0,0.0,0.01,10.06,0.05,0.0,0.01,0.0,1559.9
0.01,0.17,13.74,2.97,0.16,1.21,0.0,0.01,10.02,0.05,0.0,0.01,0.0,1456.5
0.01,0.17,13.74,2.97,0.16,1.21,0.0,0.01,10.02,0.05,0.0,0.01,0.0,1515.8
0.01,0.17,13.74,2.97,0.16,1.21,0.0,0.01,10.02,0.05,0.0,0.01,0.0,1593.7
0.01,0.17,13.74,2.97,0.16,1.21,0.0,0.01,10.02,0.05,0.0,0.01,0.0,1657.7
0.01,0.16,13.8,1.95,0.06,0.98,0.0,0.01,10.15,0.04,0.01,0.01,0.0,1557.1
0.01,0.16,13.8,1.95,0.06,0.98,0.0,0.01,10.15,0.04,0.01,0.01,0.0,1584.7
0.01,0.16,13.8,1.95,0.06,0.98,0.0,0.01,10.15,0.04,0.01,0.01,0.0,1688.1
0.03,0.24,12.4,9.1,0.01,1.3,0.0,0.01,2.8,0.01,0.03,0.37,0.0,1612.3
0.03,0.24,12.4,9.0,0.01,1.3,0.0,0.01,2.8,0.01,0.02,0.29,0.0,1570.9
0.03,0.24,12.4,9.0,0.01,1.3,0.0,0.01,2.8,0.01,0.02,0.29,0.0,1557.1
0.03,0.24,12.4,9.1,0.01,1.3,0.0,0.01,2.8,0.01,0.03,0.37,0.0,1619.2
0.03,0.18,12.5,9.1,0.01,1.3,0.0,0.01,2.8,0.01,0.03,0.29,0.0,1357.3
0.03,0.23,12.5,9.0,0.01,1.3,0.0,0.01,2.8,0.01,0.03,0.3,0.0,1522.7
0.03,0.23,12.5,9.0,0.01,1.3,0.0,0.01,2.8,0.01,0.03,0.3,0.0,1536.5
0.03,0.35,18.0,9.0,0.01,2.0,0.0,0.01,1.5,0.01,0.02,0.3,0.0,1722.5
0.03,0.35,18.0,9.0,0.01,2.0,0.0,0.01,1.5,0.01,0.02,0.3,0.0,1736.3
0.03,0.35,18.0,9.0,0.01,2.0,0.0,0.01,1.5,0.01,0.02,0.3,0.0,1736.3
0.03,0.15,13.0,9.0,0.01,1.5,0.0,0.01,4.8,0.01,0.02,0.5,0.0,1412.5
0.03,0.18,12.5,9.1,0.01,1.3,0.0,0.01,2.8,0.01,0.03,0.29,0.0,1433.1
0.03,0.18,12.5,9.1,0.01,1.3,0.0,0.01,2.8,0.01,0.03,0.29,0.0,1488.2
0.03,0.11,16.7,9.2,0.01,2.0,0.0,0.01,3.7,0.01,0.03,0.5,0.0,1453.8
0.03,0.23,12.5,9.0,0.01,1.3,0.0,0.01,2.8,0.01,0.03,0.3,0.0,1467.6
0.03,0.23,12.5,9.0,0.01,1.3,0.0,0.01,2.8,0.01,0.03,0.3,0.0,1564.0
0.03,0.2,12.4,8.2,0.01,1.3,0.0,0.01,2.1,0.01,0.02,0.29,0.0,1357.3
0.03,0.19,14.2,6.8,0.01,2.4,0.0,0.01,2.8,0.01,0.02,0.28,1.3,1371.1
0.03,0.21,14.2,8.2,0.01,1.3,0.0,0.01,2.6,0.6,0.02,0.29,0.0,1391.8
0.03,0.24,13.0,8.9,0.01,1.7,0.0,0.01,5.1,0.01,0.03,0.29,0.0,1405.6
0.03,0.24,13.0,8.9,0.01,1.7,0.0,0.01,5.1,0.01,0.03,0.29,0.0,1453.8
0.03,0.25,12.2,9.0,0.01,1.3,0.0,0.01,6.2,0.01,0.03,0.29,0.0,1405.6
0.03,0.22,15.3,8.5,0.01,1.5,0.0,0.01,4.6,0.01,0.03,0.28,0.5,1605.4
0.03,0.22,15.3,8.5,0.01,1.5,0.0,0.01,4.6,0.01,0.03,0.28,0.5,1550.3
0.03,0.22,15.3,8.5,0.01,1.5,0.0,0.01,4.6,0.01,0.03,0.28,0.5,1570.9
0.03,0.24,13.0,8.9,0.01,1.7,0.0,0.01,7.4,0.01,0.03,0.28,0.0,1543.4
0.03,0.24,13.0,8.9,0.01,1.7,0.0,0.01,7.4,0.01,0.03,0.28,0.0,1605.4
0.03,0.24,13.0,8.9,0.01,1.7,0.0,0.01,7.4,0.01,0.03,0.28,0.0,1502.0
0.03,0.24,13.0,8.9,0.01,1.5,0.0,0.01,8.7,0.01,0.02,0.28,0.0,1157.5
0.03,0.24,13.0,8.9,0.01,1.5,0.0,0.01,8.7,0.01,0.02,0.28,0.0,1157.5
0.03,0.24,13.0,8.9,0.01,1.5,0.0,0.01,8.7,0.01,0.02,0.28,0.0,1612.3
0.08,0.01,0.01,0.01,0.01,1.0,0.0,0.01,18.1,0.01,1.8,0.01,0.0,1736.3
0.07,0.01,0.01,0.01,0.01,2.0,0.0,0.01,17.1,0.01,1.82,0.01,0.0,1874.1
0.12,0.01,0.01,0.01,0.01,2.1,0.0,0.01,17.5,0.01,2.0,2.0,0.0,1998.1
0.11,0.03,0.01,0.01,0.01,2.2,0.0,0.01,18.1,0.01,2.5,0.01,0.0,2005.0
0.13,0.01,0.01,0.01,0.01,2.1,0.0,0.01,21.0,0.01,1.9,0.01,0.0,1660.5
0.08,0.02,0.01,0.01,0.01,0.64,0.0,0.01,17.8,0.01,2.03,0.01,0.0,1729.4
0.08,0.01,0.01,0.01,0.01,1.44,0.0,0.01,17.4,0.01,1.9,0.01,0.0,1391.8
0.05,0.0,0.01,0.01,0.01,3.1,0.0,0.01,18.1,0.01,1.4,0.01,0.0,1715.6
0.07,0.02,0.01,0.01,0.01,3.1,0.0,0.01,17.9,0.01,1.4,0.9,0.0,1729.4
0.05,0.01,0.01,0.01,0.01,3.1,0.0,0.01,17.8,0.01,1.1,1.0,0.33,1688.1
0.09,0.02,0.01,0.01,0.01,0.02,0.0,0.01,17.5,0.01,2.06,1.9,0.0,1729.4
0.1,0.03,0.01,0.01,0.01,0.02,0.0,2.5,17.3,0.01,1.07,1.8,0.0,1729.4
0.12,0.02,0.01,0.01,0.01,1.4,0.0,0.01,15.3,0.01,2.1,0.01,0.0,1791.4
0.1,0.02,0.01,0.01,0.01,0.3,0.0,0.01,17.9,0.01,1.95,0.01,0.0,1674.3
0.1,0.02,0.01,0.01,0.01,2.0,0.0,0.01,15.7,0.01,1.98,0.01,0.0,1722.5
0.09,0.01,0.01,0.01,0.02,3.06,0.0,0.01,18.2,0.01,1.26,0.01,0.0,1692.9
0.09,0.01,0.01,0.01,0.03,3.07,0.0,0.01,18.11,0.01,1.41,0.01,0.0,1593.7
0.09,0.01,0.01,0.01,0.02,3.06,0.0,0.01,18.2,0.01,1.26,0.01,0.0,1524.8
0.09,0.01,0.01,0.01,0.02,3.06,0.0,0.01,18.2,0.01,1.26,0.01,0.0,1600.5
0.09,0.01,0.01,0.01,0.02,3.06,0.0,0.01,18.2,0.01,1.26,0.01,0.0,1579.2
0.09,0.01,0.01,0.01,0.03,3.07,0.0,0.01,18.11,0.01,1.41,0.01,0.0,1684.6
0.09,0.01,0.01,0.01,0.03,3.07,0.0,0.01,18.11,0.01,1.41,0.01,0.0,1645.3
0.03,0.22,13.89,3.03,0.01,1.18,0.0,0.01,11.17,0.01,0.01,0.01,0.0,1810.0
0.46,0.03,0.01,10.7,0.01,2.45,0.0,0.01,9.46,0.01,0.28,0.01,0.0,1309.0
0.39,0.03,0.01,11.2,0.01,0.02,0.0,0.01,9.61,0.01,0.26,0.01,4.0,1313.0
0.39,0.03,0.01,11.3,0.01,0.02,0.0,0.01,8.64,0.01,0.27,0.01,1.84,1311.0
0.21,0.03,0.01,10.7,0.01,0.02,0.0,0.01,10.3,0.01,0.31,0.01,0.0,1052.0
0.21,0.03,0.01,10.7,0.01,0.02,0.0,0.01,10.3,0.01,0.31,0.01,0.0,1198.0
0.39,0.03,0.01,11.3,0.01,0.02,0.0,0.01,8.64,0.01,0.27,0.01,1.84,1077.0
0.39,0.03,0.01,11.2,0.01,0.02,0.0,0.01,9.61,0.01,0.26,0.01,4.0,1085.0
0.46,0.03,0.01,10.7,0.01,2.45,0.0,0.01,9.46,0.01,0.28,0.01,0.0,1055.0
0.1,0.03,0.01,0.01,0.01,0.02,0.0,0.01,18.5,0.01,1.4,0.01,3.0,1600.0
0.1,0.03,0.01,0.01,0.01,2.2,0.0,0.01,18.1,0.01,2.5,0.01,0.0,2006.0
0.03,0.2,13.82,12.43,0.01,2.01,0.0,0.08,1.21,0.01,0.0,0.01,0.0,1405.8
0.03,0.15,13.33,14.13,0.01,4.8,0.0,0.01,0.14,0.01,0.0,0.21,0.0,1430.3
0.03,0.15,13.33,14.13,0.01,4.8,0.0,0.01,0.14,0.01,0.0,0.21,0.0,1427.4
0.03,0.2,13.74,13.82,0.01,0.99,0.0,0.09,1.13,0.01,0.0,0.01,0.0,1386.2
0.03,0.15,13.33,14.13,0.01,4.8,0.0,0.01,0.14,0.01,0.0,0.21,0.0,1388.1
0.03,0.25,13.88,14.09,0.01,2.0,0.0,0.08,0.93,0.01,0.0,0.01,0.0,1469.5
0.03,0.21,15.95,12.53,0.43,2.06,0.0,0.01,1.18,0.5,0.0,0.01,0.0,1451.9
0.03,0.25,13.88,14.09,0.01,2.0,0.0,0.08,0.93,0.01,0.0,0.01,0.0,1407.7
0.03,0.16,13.94,13.99,0.01,4.95,0.0,0.27,1.09,0.03,0.0,0.01,0.0,1266.5
0.03,0.2,15.4,12.59,0.51,1.98,0.0,0.01,1.03,0.51,0.0,0.01,0.0,1309.6
0.03,0.21,15.95,12.53,0.43,2.06,0.0,0.01,1.18,0.5,0.0,0.01,0.0,1451.9
0.03,0.19,15.02,12.53,0.01,1.48,0.0,0.01,0.95,0.5,0.0,0.01,0.0,1374.4
0.03,0.21,13.83,14.08,0.01,2.0,0.0,0.08,0.93,0.01,0.0,0.01,0.0,1405.8
0.03,0.2,16.62,14.09,0.01,1.98,0.0,0.08,0.01,0.03,0.0,0.01,0.0,1361.6
0.03,0.15,13.33,14.13,0.01,4.8,0.0,0.01,0.14,0.01,0.0,0.21,0.0,1280.2
0.03,0.16,13.94,13.99,0.01,4.95,0.0,0.27,1.09,0.03,0.0,0.01,0.0,1072.2
0.03,0.15,13.33,14.13,0.01,4.8,0.0,0.01,0.14,0.01,0.0,0.21,0.0,1278.2
0.03,0.19,20.1,12.56,0.02,1.96,0.0,0.01,0.94,0.49,0.0,0.01,0.0,1328.3
0.03,0.2,17.06,12.51,0.01,1.97,0.0,0.08,0.95,0.51,0.0,0.01,0.0,1358.7
0.03,0.23,13.78,12.47,0.01,1.97,0.0,0.08,0.95,0.52,0.0,0.01,0.0,1359.7
0.03,0.22,13.78,12.61,0.01,1.98,0.0,0.08,0.94,1.01,0.0,0.01,0.0,1364.6
0.03,0.2,17.0,14.13,0.01,1.99,0.0,0.08,0.92,0.01,0.0,0.01,0.0,1266.5
0.03,0.22,13.78,12.61,0.01,1.98,0.0,0.08,0.94,1.01,0.0,0.01,0.0,1402.8
0.03,0.21,13.88,12.58,0.01,1.98,0.0,0.08,0.94,1.99,0.0,0.01,0.0,1332.2
